Algoritmo,Quantum,NPROC,TME_Media,TME_Desvio_Padrao
PRIO_DYNAMIC,10,70,102526.3329,12821.229
PRIO_DYNAMIC,10,80,120323.4025,9498.8281
PRIO_DYNAMIC,10,90,134879.1085,12248.8934
PRIO_DYNAMIC,10,100,158920.897,59068.7042
PRIO_DYNAMIC,20,10,6737.4733,2779.2886
PRIO_DYNAMIC,20,20,18200.3483,10385.0407
PRIO_DYNAMIC,20,30,21352.7644,2906.9425
PRIO_DYNAMIC,20,40,28354.0008,4440.3929
PRIO_DYNAMIC,20,50,35862.1527,6464.4008
PRIO_DYNAMIC,20,60,54935.8561,32288.9627
PRIO_DYNAMIC,20,70,57132.61,16743.1967
PRIO_DYNAMIC,20,80,59464.8221,15741.8587
PRIO_DYNAMIC,20,90,73708.5067,15182.0641
PRIO_DYNAMIC,20,100,83563.8303,16405.2255
PRIO_DYNAMIC,30,10,5276.41,1744.0438
PRIO_DYNAMIC,30,20,9375.885,2183.4876
PRIO_DYNAMIC,30,30,14948.86,3872.593
PRIO_DYNAMIC,30,40,20032.8467,3665.7847
PRIO_DYNAMIC,30,50,26811.1907,5591.7124
PRIO_DYNAMIC,30,60,34018.7494,10945.5406
PRIO_DYNAMIC,30,70,40968.7557,9464.4625
PRIO_DYNAMIC,30,80,49186.785,15270.7537
PRIO_DYNAMIC,30,90,45072.6393,5501.4876
PRIO_DYNAMIC,30,100,58413.6217,10561.9681
PRIO_DYNAMIC_QUANTUM,10,10,11339.4567,3874.074
PRIO_DYNAMIC_QUANTUM,10,20,22485.28,5538.413
PRIO_DYNAMIC_QUANTUM,10,30,34613.4011,5862.5736
PRIO_DYNAMIC_QUANTUM,10,40,51173.0383,10318.306
PRIO_DYNAMIC_QUANTUM,10,50,65429.098,14451.3826
PRIO_DYNAMIC_QUANTUM,10,60,75177.3056,12042.339
PRIO_DYNAMIC_QUANTUM,10,70,104326.5,19982.8538
PRIO_DYNAMIC_QUANTUM,10,80,112910.8483,12625.2702
PRIO_DYNAMIC_QUANTUM,10,90,129540.4867,16171.1977
PRIO_DYNAMIC_QUANTUM,10,100,136993.299,17270.2102
PRIO_DYNAMIC_QUANTUM,20,10,6710.4267,2364.1468
PRIO_DYNAMIC_QUANTUM,20,20,12598.3217,2791.3318
PRIO_DYNAMIC_QUANTUM,20,30,21022.5856,5353.083
PRIO_DYNAMIC_QUANTUM,20,40,27947.9825,5844.2334
PRIO_DYNAMIC_QUANTUM,20,50,42294.4587,22291.3391
PRIO_DYNAMIC_QUANTUM,20,60,53598.6156,14084.9129
PRIO_DYNAMIC_QUANTUM,20,70,52834.7586,11609.0056
PRIO_DYNAMIC_QUANTUM,20,80,57987.2725,7949.5225
PRIO_DYNAMIC_QUANTUM,20,90,70270.2026,10399.8082
PRIO_DYNAMIC_QUANTUM,20,100,90495.124,19864.1224
PRIO_DYNAMIC_QUANTUM,30,10,5112.7467,2400.7319
PRIO_DYNAMIC_QUANTUM,30,20,10053.6383,2880.0369
PRIO_DYNAMIC_QUANTUM,30,30,18297.9889,6267.6846
PRIO_DYNAMIC_QUANTUM,30,40,20032.4358,3762.9522
PRIO_DYNAMIC_QUANTUM,30,50,25044.9147,4313.9777
PRIO_DYNAMIC_QUANTUM,30,60,32991.3106,5584.5228
PRIO_DYNAMIC_QUANTUM,30,70,48085.6343,21338.6416
PRIO_DYNAMIC_QUANTUM,30,80,45839.93,18121.1266
PRIO_DYNAMIC_QUANTUM,30,90,45095.3937,5747.5471
PRIO_DYNAMIC_QUANTUM,30,100,55907.6967,9219.6757
